epoch,train_loss,val_loss,lr
1,164563.11945043103,156083.29222972973,0.0001
2,159039.04003232758,156162.84733952704,9.990133642141359e-05
3,158996.62995689656,155899.7530616554,9.96057350657239e-05
4,158990.67893318966,155883.00200591216,9.911436253643444e-05
5,158990.6344288793,155949.51499155405,9.842915805643155e-05
6,158986.8009159483,155843.0980785473,9.755282581475769e-05
7,158998.10172413793,155842.33910472973,9.648882429441257e-05
8,158984.56697198277,155861.95808699325,9.524135262330098e-05
9,158979.99525862068,155799.35272381757,9.381533400219317e-05
10,158977.9494612069,155863.02850506757,9.221639627510075e-05
11,158974.58981681033,155821.06566722973,9.045084971874735e-05
12,158976.97209051723,155837.08023648648,8.852566213878945e-05
13,158972.01702586206,155824.5577491554,8.644843137107056e-05
14,158998.61681034483,155841.6045185811,8.422735529643442e-05
